OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
3042,0078082,2005,110010078082005,110010078082005,20856,0,54,53,0,48,0,0,0,5,1,0,0,0,1,0,48,0,0,0,5,0,0,0,0,48,0,42,0,0,0,5,1,0,0,0,1,0,42,0,0,0,5,0,0,0,0,31,27,4,5.15308118,588.538148754915,20853.779680739,0.00805169
3043,0078082,2006,110010078082006,110010078082006,20832,0,100,97,6,91,0,0,0,0,3,0,0,0,7,6,87,0,0,0,0,0,0,0,0,74,4,69,0,0,0,0,1,0,0,0,3,4,67,0,0,0,0,0,0,0,0,48,41,7,5.14708078,587.433409653342,20829.4969063269,0.00804231
3044,0078082,2007,110010078082007,110010078082007,20412,0,122,122,0,122,0,0,0,0,0,0,0,0,5,0,117,0,0,0,0,0,0,0,0,99,0,99,0,0,0,0,0,0,0,0,5,0,94,0,0,0,0,0,0,0,0,54,51,3,5.04340231,579.615210076849,20409.9250355529,0.00788032
3045,0073011,1118,110010073011118,110010073011118,42380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47126467,984.090525118827,42375.7046853964,0.01636135
3046,0073011,1119,110010073011119,110010073011119,12628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12016451,574.648568829419,12626.8577833501,0.00487526
3047,0073011,1120,110010073011120,110010073011120,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67596671,212.652462492571,2735.54021123989,0.0010562
3048,0073011,1121,110010073011121,110010073011121,3932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97141267,261.237247479694,3931.16762132432,0.00151783
3049,0073011,1122,110010073011122,110010073011122,8466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09186317,373.540161495339,8465.46991523859,0.00326854
3050,0073011,1123,110010073011123,110010073011123,16005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95454751,522.157300390902,16003.4860000683,0.00617898
3051,0073011,1124,110010073011124,110010073011124,41046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14166939,860.494119396678,41041.879904379,0.01584636
3052,0073011,1125,110010073011125,110010073011125,22351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52253873,1218.32148697632,22348.9213191761,0.00862897
3053,0073011,1126,110010073011126,110010073011126,9953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45917626,452.087060413118,9951.93323555379,0.00384246
3054,0073011,1127,110010073011127,110010073011127,10712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64683032,551.232088468129,10711.3422601918,0.00413567
3055,0073011,1128,110010073011128,110010073011128,9024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22973294,372.75133684255,9023.40907572365,0.00348396
3056,0073011,1129,110010073011129,110010073011129,12314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04263665,444.272311456512,12313.1136499878,0.00475412
3057,0073011,1130,110010073011130,110010073011130,4140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02282038,349.266826871653,4139.20722284567,0.00159816
3058,0073011,1131,110010073011131,110010073011131,16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95361846,661.990037560544,15999.7262581331,0.00617753
3059,0073011,1132,110010073011132,110010073011132,9485,0,201,195,131,48,3,3,2,8,5,1,1,0,20,122,46,3,2,2,0,5,1,1,0,201,131,48,3,3,2,8,5,1,1,0,20,122,46,3,2,2,0,5,1,1,0,0,0,0,2.34364464,472.30639367693,9484.39336607348,0.00366194
3060,0073011,1133,110010073011133,110010073011133,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20176918,128.039622056599,816.530918043301,0.00031526
3061,0073011,1134,110010073011134,110010073011134,7945,0,46,21,12,7,0,0,0,2,0,0,0,0,5,9,7,0,0,0,0,0,0,0,0,11,6,3,0,0,0,2,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,15,6,0,2.80926986,425.526679765771,11368.7117869596,0.00438948
3062,0073011,1135,110010073011135,110010073011135,8243,0,44,42,12,20,0,0,0,10,0,0,0,2,12,10,20,0,0,0,0,0,0,0,2,24,7,11,0,0,0,4,0,0,0,2,5,6,11,0,0,0,0,0,0,0,2,16,15,1,2.03660365,343.800366638304,8241.84255158817,0.00318219
3063,0073011,1136,110010073011136,110010073011136,7502,0,33,33,14,16,0,0,0,3,0,0,0,0,6,11,16,0,0,0,0,0,0,0,0,20,8,11,0,0,0,1,0,0,0,0,2,7,11,0,0,0,0,0,0,0,0,13,10,3,1.85350124,418.698836979847,7500.853393695,0.0028961
3064,0073011,1137,110010073011137,110010073011137,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08504936,88.0989970177541,344.182564217604,0.00013289
